GEO_ID,NAME,S2404_C01_001E,S2404_C01_003E,PercentAG
42001,"Adams County, Pennsylvania",36136,972,0.026898384
42003,"Allegheny County, Pennsylvania",449813,477,0.001060441
42005,"Armstrong County, Pennsylvania",21316,217,0.010180146
42007,"Beaver County, Pennsylvania",55892,184,0.003292063
42009,"Bedford County, Pennsylvania",15329,559,0.036466828
42011,"Berks County, Pennsylvania",145388,2284,0.015709687
42013,"Blair County, Pennsylvania",40486,417,0.010299857
42015,"Bradford County, Pennsylvania",19606,683,0.034836275
42017,"Bucks County, Pennsylvania",238885,855,0.003579128
42019,"Butler County, Pennsylvania",66395,408,0.006145041
42021,"Cambria County, Pennsylvania",39426,267,0.006772181
42023,"Cameron County, Pennsylvania",1425,80,0.056140351
42025,"Carbon County, Pennsylvania",21633,119,0.005500855
42027,"Centre County, Pennsylvania",49856,502,0.010068999
42029,"Chester County, Pennsylvania",195647,4966,0.025382449
42031,"Clarion County, Pennsylvania",12002,224,0.018663556
42033,"Clearfield County, Pennsylvania",23445,289,0.012326722
42035,"Clinton County, Pennsylvania",12302,186,0.015119493
42037,"Columbia County, Pennsylvania",20710,229,0.01105746
42039,"Crawford County, Pennsylvania",26551,697,0.026251365
42041,"Cumberland County, Pennsylvania",90076,744,0.008259692
42043,"Dauphin County, Pennsylvania",101428,1635,0.016119809
42045,"Delaware County, Pennsylvania",196445,498,0.002535061
42047,"Elk County, Pennsylvania",11803,89,0.007540456
42049,"Erie County, Pennsylvania",86386,576,0.006667747
42051,"Fayette County, Pennsylvania",38269,211,0.005513601
42053,"Forest County, Pennsylvania",625,21,0.0336
42055,"Franklin County, Pennsylvania",53455,1308,0.02446918
42057,"Fulton County, Pennsylvania",4744,131,0.027613828
42059,"Greene County, Pennsylvania",10378,47,0.004528811
42061,"Huntingdon County, Pennsylvania",12687,387,0.030503665
42063,"Indiana County, Pennsylvania",24300,417,0.017160494
42065,"Jefferson County, Pennsylvania",13937,220,0.01578532
42067,"Juniata County, Pennsylvania",8359,438,0.052398612
42069,"Lackawanna County, Pennsylvania",71081,121,0.001702283
42071,"Lancaster County, Pennsylvania",185443,4998,0.026951678
42073,"Lawrence County, Pennsylvania",26961,361,0.013389711
42075,"Lebanon County, Pennsylvania",48213,1215,0.025200672
42077,"Lehigh County, Pennsylvania",124979,656,0.005248882
42079,"Luzerne County, Pennsylvania",107303,484,0.004510592
42081,"Lycoming County, Pennsylvania",36561,439,0.01200733
42083,"McKean County, Pennsylvania",12874,280,0.021749262
42085,"Mercer County, Pennsylvania",33979,409,0.012036846
42087,"Mifflin County, Pennsylvania",15662,419,0.02675265
42089,"Monroe County, Pennsylvania",55665,319,0.005730711
42091,"Montgomery County, Pennsylvania",311723,636,0.002040273
42093,"Montour County, Pennsylvania",5974,108,0.018078339
42095,"Northampton County, Pennsylvania",107230,662,0.006173645
42097,"Northumberland County, Pennsylvania",29693,411,0.013841646
42099,"Perry County, Pennsylvania",16748,463,0.027645092
42101,"Philadelphia County, Pennsylvania",495663,789,0.001591807
42103,"Pike County, Pennsylvania",16924,125,0.007385961
42105,"Potter County, Pennsylvania",4604,177,0.038444831
42107,"Schuylkill County, Pennsylvania",46516,534,0.011479921
42109,"Snyder County, Pennsylvania",14015,439,0.031323582
42111,"Somerset County, Pennsylvania",23225,626,0.026953714
42113,"Sullivan County, Pennsylvania",1963,146,0.074375955
42115,"Susquehanna County, Pennsylvania",12464,322,0.025834403
42117,"Tioga County, Pennsylvania",12617,464,0.036775779
42119,"Union County, Pennsylvania",11950,270,0.022594142
42121,"Venango County, Pennsylvania",16085,139,0.008641592
42123,"Warren County, Pennsylvania",13009,288,0.022138519
42125,"Washington County, Pennsylvania",69389,505,0.007277811
42127,"Wayne County, Pennsylvania",14427,231,0.016011645
42129,"Westmoreland County, Pennsylvania",121521,426,0.003505567
42131,"Wyoming County, Pennsylvania",8856,162,0.018292683
42133,"York County, Pennsylvania",161887,1143,0.00706048
0400000US42,Pennsylvania,4380339,40104,0.009155456
