GEO_ID,NAME,S2404_C01_001E,S2404_C01_004E
42001,"Adams County, Pennsylvania",36136,157
42003,"Allegheny County, Pennsylvania",449813,2932
42005,"Armstrong County, Pennsylvania",21316,572
42007,"Beaver County, Pennsylvania",55892,471
42009,"Bedford County, Pennsylvania",15329,118
42011,"Berks County, Pennsylvania",145388,347
42013,"Blair County, Pennsylvania",40486,124
42015,"Bradford County, Pennsylvania",19606,506
42017,"Bucks County, Pennsylvania",238885,217
42019,"Butler County, Pennsylvania",66395,506
42021,"Cambria County, Pennsylvania",39426,481
42023,"Cameron County, Pennsylvania",1425,18
42025,"Carbon County, Pennsylvania",21633,111
42027,"Centre County, Pennsylvania",49856,235
42029,"Chester County, Pennsylvania",195647,320
42031,"Clarion County, Pennsylvania",12002,206
42033,"Clearfield County, Pennsylvania",23445,599
42035,"Clinton County, Pennsylvania",12302,167
42037,"Columbia County, Pennsylvania",20710,69
42039,"Crawford County, Pennsylvania",26551,218
42041,"Cumberland County, Pennsylvania",90076,138
42043,"Dauphin County, Pennsylvania",101428,215
42045,"Delaware County, Pennsylvania",196445,99
42047,"Elk County, Pennsylvania",11803,94
42049,"Erie County, Pennsylvania",86386,313
42051,"Fayette County, Pennsylvania",38269,1482
42053,"Forest County, Pennsylvania",625,5
42055,"Franklin County, Pennsylvania",53455,158
42057,"Fulton County, Pennsylvania",4744,45
42059,"Greene County, Pennsylvania",10378,1112
42061,"Huntingdon County, Pennsylvania",12687,88
42063,"Indiana County, Pennsylvania",24300,996
42065,"Jefferson County, Pennsylvania",13937,573
42067,"Juniata County, Pennsylvania",8359,38
42069,"Lackawanna County, Pennsylvania",71081,223
42071,"Lancaster County, Pennsylvania",185443,353
42073,"Lawrence County, Pennsylvania",26961,124
42075,"Lebanon County, Pennsylvania",48213,124
42077,"Lehigh County, Pennsylvania",124979,144
42079,"Luzerne County, Pennsylvania",107303,199
42081,"Lycoming County, Pennsylvania",36561,662
42083,"McKean County, Pennsylvania",12874,495
42085,"Mercer County, Pennsylvania",33979,212
42087,"Mifflin County, Pennsylvania",15662,65
42089,"Monroe County, Pennsylvania",55665,179
42091,"Montgomery County, Pennsylvania",311723,170
42093,"Montour County, Pennsylvania",5974,16
42095,"Northampton County, Pennsylvania",107230,184
42097,"Northumberland County, Pennsylvania",29693,360
42099,"Perry County, Pennsylvania",16748,1
42101,"Philadelphia County, Pennsylvania",495663,407
42103,"Pike County, Pennsylvania",16924,77
42105,"Potter County, Pennsylvania",4604,99
42107,"Schuylkill County, Pennsylvania",46516,538
42109,"Snyder County, Pennsylvania",14015,51
42111,"Somerset County, Pennsylvania",23225,615
42113,"Sullivan County, Pennsylvania",1963,51
42115,"Susquehanna County, Pennsylvania",12464,417
42117,"Tioga County, Pennsylvania",12617,390
42119,"Union County, Pennsylvania",11950,18
42121,"Venango County, Pennsylvania",16085,155
42123,"Warren County, Pennsylvania",13009,153
42125,"Washington County, Pennsylvania",69389,2498
42127,"Wayne County, Pennsylvania",14427,143
42129,"Westmoreland County, Pennsylvania",121521,852
42131,"Wyoming County, Pennsylvania",8856,182
42133,"York County, Pennsylvania",161887,210
0400000US42,Pennsylvania,4380339,24097
